USNPS4 (airfoil data generated with XFoil through QBlade)
50000
0
17.20    1.1251    0.1677
17.30    1.1266    0.1690
17.40    1.1281    0.1704
17.50    1.1297    0.1718
17.60    1.1314    0.1732
17.80    1.1348    0.1759
17.90    1.1365    0.1773
18.00    1.1383    0.1786
18.10    1.1401    0.1800
18.20    1.1419    0.1814
18.30    1.1437    0.1828
18.40    1.1454    0.1842
18.50    1.1472    0.1856
18.60    1.1489    0.1870
18.70    1.1506    0.1885
18.80    1.1522    0.1900
18.90    1.1538    0.1915
19.00    1.1554    0.1931
