AeroDyn airfoil file Created with QBlade v0.963 64bit on 03.02.2021 at 08:58:07 Compatible with AeroDyn v13.0.
Polar "T1_Re0.060_M0.00_N9.0" on Foil "SG6042" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
12.10          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-3.51          Angle of attack for zero Cn for linear Cn curve (deg)
5.36885        Cn slope for zero lift for linear Cn curve (1/rad)
-0.2425        Cn at stall value for positive angle of attack for linear Cn curve
-0.2522        Cn at stall value for negative angle of attack for linear Cn curve
-1.50          Angle of attack for minimum CD (deg)
0.0192         Minimum CD value
     -8.00   -0.2338    0.0951
     -7.90   -0.2414    0.0946
     -7.80   -0.2320    0.0928
     -7.70   -0.2321    0.0919
     -7.60   -0.2436    0.0916
     -7.50   -0.2272    0.0895
     -7.40   -0.2358    0.0891
     -7.30   -0.2257    0.0874
     -7.20   -0.2312    0.0868
     -7.10   -0.2248    0.0853
     -7.00   -0.2298    0.0847
     -6.90   -0.2235    0.0833
     -6.80   -0.2308    0.0827
     -6.70   -0.2216    0.0813
     -6.60   -0.2260    0.0804
     -6.50   -0.2240    0.0794
     -6.40   -0.2169    0.0781
     -6.30   -0.2173    0.0770
     -6.20   -0.2205    0.0761
     -6.10   -0.2171    0.0751
     -6.00   -0.2096    0.0739
     -5.90   -0.2066    0.0728
     -5.80   -0.2042    0.0717
     -5.70   -0.2015    0.0707
     -5.60   -0.1989    0.0697
     -5.50   -0.2019    0.0689
     -5.40   -0.1964    0.0678
     -5.30   -0.1902    0.0668
     -4.50   -0.1096    0.0425
     -4.40   -0.0980    0.0406
     -4.30   -0.0883    0.0394
     -4.20   -0.0757    0.0377
     -4.10   -0.0655    0.0365
     -4.00   -0.0549    0.0355
     -3.90   -0.0441    0.0344
     -3.80   -0.0330    0.0334
     -3.70   -0.0219    0.0325
     -3.60   -0.0107    0.0316
     -3.50    0.0007    0.0308
     -3.40    0.0120    0.0300
     -3.30    0.0223    0.0293
     -3.20    0.0333    0.0286
     -3.10    0.0444    0.0280
     -3.00    0.0549    0.0274
     -2.90    0.0656    0.0268
     -2.80    0.0764    0.0263
     -2.70    0.0867    0.0257
     -2.60    0.0968    0.0252
     -2.50    0.1071    0.0247
     -2.40    0.1168    0.0242
     -2.30    0.1264    0.0237
     -2.20    0.1361    0.0232
     -2.10    0.1461    0.0226
     -2.00    0.1560    0.0218
     -1.90    0.1594    0.0203
     -1.80    0.1515    0.0197
     -1.70    0.1483    0.0194
     -1.60    0.1880    0.0192
     -1.50    0.1970    0.0192
     -1.40    0.2064    0.0192
     -1.30    0.2160    0.0192
     -1.20    0.2259    0.0192
     -1.10    0.2359    0.0192
     -1.00    0.2461    0.0193
     -0.90    0.2563    0.0193
     -0.80    0.2666    0.0193
     -0.70    0.2769    0.0194
     -0.60    0.2872    0.0194
     -0.50    0.2976    0.0195
     -0.40    0.3079    0.0195
     -0.30    0.3183    0.0196
     -0.20    0.3286    0.0196
     -0.10    0.3390    0.0197
      0.00    0.3493    0.0197
      0.10    0.3597    0.0198
      0.20    0.3700    0.0199
      0.30    0.3803    0.0199
      0.40    0.3906    0.0200
      0.50    0.4009    0.0201
      0.60    0.4112    0.0201
      0.70    0.4215    0.0202
      0.80    0.4317    0.0203
      0.90    0.4420    0.0204
      1.00    0.4522    0.0204
      1.10    0.4624    0.0205
      1.20    0.4726    0.0206
      1.30    0.4827    0.0207
      1.40    0.4929    0.0208
      1.50    0.5030    0.0209
      1.60    0.5131    0.0210
      1.70    0.5232    0.0211
      1.80    0.5332    0.0211
      1.90    0.5432    0.0212
      2.00    0.5533    0.0213
      2.10    0.5632    0.0214
      2.20    0.5732    0.0215
      2.30    0.5832    0.0216
      2.40    0.5931    0.0217
      2.50    0.6030    0.0218
      2.60    0.6128    0.0220
      2.70    0.6227    0.0221
      2.80    0.6325    0.0222
      2.90    0.6423    0.0223
      3.00    0.6520    0.0224
      3.10    0.6618    0.0225
      3.20    0.6715    0.0226
      3.30    0.6811    0.0228
      3.40    0.6908    0.0229
      3.50    0.7004    0.0230
      3.60    0.7100    0.0231
      3.70    0.7195    0.0233
      3.80    0.7290    0.0234
      3.90    0.7385    0.0235
      4.00    0.7480    0.0237
      4.10    0.7574    0.0238
      4.20    0.7668    0.0239
      4.30    0.7761    0.0241
      4.40    0.7854    0.0242
      4.50    0.7947    0.0244
      4.60    0.8039    0.0245
      4.70    0.8131    0.0247
      4.80    0.8221    0.0248
      4.90    0.8312    0.0250
      5.00    0.8401    0.0251
      5.10    0.8490    0.0253
      5.20    0.8578    0.0255
      5.30    0.8666    0.0256
      5.40    0.8754    0.0258
