AeroDyn airfoil file Created with QBlade v0.963 64bit on 03.02.2021 at 08:58:07 Compatible with AeroDyn v13.0.
Polar "T1_Re0.080_M0.00_N9.0" on Foil "SG6042" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
11.80          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-3.75          Angle of attack for zero Cn for linear Cn curve (deg)
5.38866        Cn slope for zero lift for linear Cn curve (1/rad)
-0.2314        Cn at stall value for positive angle of attack for linear Cn curve
-0.2485        Cn at stall value for negative angle of attack for linear Cn curve
-1.40          Angle of attack for minimum CD (deg)
0.0171         Minimum CD value
     -8.00   -0.2292    0.0910
     -7.90   -0.2383    0.0903
     -7.80   -0.2282    0.0885
     -7.70   -0.2217    0.0873
     -7.60   -0.2228    0.0863
     -7.50   -0.2317    0.0855
     -7.40   -0.2354    0.0844
     -7.30   -0.2198    0.0828
     -7.20   -0.2227    0.0819
     -7.10   -0.2324    0.0807
     -7.00   -0.2204    0.0795
     -6.90   -0.2182    0.0784
     -6.70   -0.2148    0.0758
     -6.60   -0.2156    0.0745
     -6.50   -0.2136    0.0731
     -6.40   -0.2078    0.0721
     -6.30   -0.2096    0.0704
     -6.20   -0.2024    0.0695
     -6.10   -0.2030    0.0679
     -6.00   -0.1962    0.0670
     -5.90   -0.1950    0.0655
     -5.70   -0.1859    0.0632
     -5.60   -0.1829    0.0619
     -5.50   -0.1794    0.0607
     -5.40   -0.1752    0.0596
     -5.30   -0.1683    0.0587
     -5.20   -0.1636    0.0576
     -5.10   -0.1588    0.0566
     -4.40   -0.0713    0.0362
     -4.30   -0.0593    0.0345
     -4.20   -0.0491    0.0334
     -4.10   -0.0384    0.0323
     -4.00   -0.0274    0.0311
     -3.90   -0.0164    0.0302
     -3.80   -0.0057    0.0294
     -3.70    0.0052    0.0286
     -3.60    0.0162    0.0279
     -3.50    0.0273    0.0272
     -3.40    0.0386    0.0265
     -3.30    0.0490    0.0259
     -3.20    0.0597    0.0254
     -3.10    0.0709    0.0248
     -3.00    0.0811    0.0243
     -2.90    0.0922    0.0238
     -2.80    0.1023    0.0233
     -2.70    0.1126    0.0228
     -2.60    0.1228    0.0224
     -2.50    0.1328    0.0219
     -2.40    0.1427    0.0215
     -2.30    0.1524    0.0211
     -2.20    0.1621    0.0206
     -2.10    0.1717    0.0201
     -2.00    0.1811    0.0194
     -1.90    0.1833    0.0179
     -1.80    0.1809    0.0177
     -1.70    0.1805    0.0175
     -1.60    0.1829    0.0173
     -1.50    0.2171    0.0171
     -1.40    0.2354    0.0171
     -1.30    0.2441    0.0171
     -1.20    0.2534    0.0171
     -1.10    0.2631    0.0171
     -1.00    0.2731    0.0172
     -0.90    0.2833    0.0172
     -0.80    0.2937    0.0172
     -0.70    0.3041    0.0173
     -0.60    0.3146    0.0173
     -0.50    0.3251    0.0173
     -0.40    0.3356    0.0174
     -0.30    0.3462    0.0174
     -0.20    0.3568    0.0175
     -0.10    0.3673    0.0175
      0.00    0.3779    0.0176
      0.10    0.3885    0.0176
      0.20    0.3991    0.0177
      0.30    0.4096    0.0177
      0.40    0.4202    0.0178
      0.50    0.4307    0.0179
      0.60    0.4412    0.0179
      0.70    0.4517    0.0180
      0.80    0.4622    0.0180
      0.90    0.4727    0.0181
      1.00    0.4831    0.0182
      1.10    0.4935    0.0183
      1.20    0.5040    0.0183
      1.30    0.5144    0.0184
      1.40    0.5247    0.0185
      1.50    0.5351    0.0185
      1.60    0.5454    0.0186
      1.70    0.5558    0.0187
      1.80    0.5661    0.0188
      1.90    0.5763    0.0189
      2.00    0.5866    0.0190
      2.10    0.5968    0.0190
      2.20    0.6070    0.0191
      2.30    0.6172    0.0192
      2.40    0.6274    0.0193
      2.50    0.6376    0.0194
      2.60    0.6477    0.0195
      2.70    0.6578    0.0196
      2.80    0.6679    0.0197
      2.90    0.6779    0.0198
      3.00    0.6879    0.0199
      3.10    0.6979    0.0200
      3.20    0.7079    0.0201
      3.30    0.7179    0.0202
      3.40    0.7278    0.0203
      3.50    0.7377    0.0204
      3.60    0.7475    0.0205
      3.70    0.7574    0.0206
      3.80    0.7672    0.0207
      3.90    0.7770    0.0208
      4.00    0.7867    0.0209
      4.10    0.7964    0.0211
      4.20    0.8061    0.0212
      4.30    0.8157    0.0213
      4.40    0.8253    0.0214
      4.50    0.8349    0.0216
      4.60    0.8444    0.0217
      4.70    0.8539    0.0218
      4.80    0.8634    0.0219
      4.90    0.8728    0.0221
      5.00    0.8822    0.0222
      5.10    0.8915    0.0224
      5.20    0.9008    0.0225
      5.30    0.9101    0.0226
      5.40    0.9193    0.0228
      5.60    0.9376    0.0231
      5.70    0.9467    0.0232
      5.80    0.9557    0.0234
      5.90    0.9646    0.0236
      6.00    0.9735    0.0237
      6.10    0.9824    0.0239
      6.20    0.9911    0.0240
      6.30    0.9998    0.0242
      6.40    1.0084    0.0244
      6.50    1.0168    0.0246
      6.60    1.0252    0.0247
      6.70    1.0335    0.0249
      6.80    1.0418    0.0251
      6.90    1.0500    0.0253
      7.00    1.0582    0.0255
      7.10    1.0663    0.0257
      7.20    1.0743    0.0259
      7.30    1.0823    0.0261
      7.40    1.0903    0.0263
      7.50    1.0981    0.0265
      7.60    1.1059    0.0267
      7.70    1.1137    0.0270
      7.80    1.1213    0.0272
      7.90    1.1289    0.0274
      8.00    1.1363    0.0277
      8.10    1.1437    0.0279
      8.20    1.1510    0.0282
      8.30    1.1583    0.0285
      8.40    1.1654    0.0287
      8.50    1.1724    0.0290
      8.60    1.1793    0.0293
      8.70    1.1861    0.0296
      8.80    1.1927    0.0299
      8.90    1.1993    0.0302
      9.00    1.2057    0.0306
      9.10    1.2119    0.0309
      9.20    1.2181    0.0313
      9.30    1.2240    0.0316
      9.40    1.2299    0.0320
      9.50    1.2355    0.0324
      9.60    1.2410    0.0328
      9.70    1.2464    0.0332
      9.80    1.2516    0.0337
      9.90    1.2567    0.0342
     10.00    1.2617    0.0347
     10.10    1.2666    0.0352
     10.20    1.2716    0.0357
     10.30    1.2766    0.0363
     10.40    1.2820    0.0368
     10.50    1.2878    0.0374
     10.60    1.2944    0.0380
     10.70    1.3024    0.0387
     10.80    1.3124    0.0394
     10.90    1.3257    0.0401
     11.00    1.3448    0.0410
     11.10    1.3733    0.0424
     11.20    1.4091    0.0445
     11.30    1.4352    0.0469
     11.40    1.4490    0.0490
     11.50    1.4574    0.0509
     11.60    1.4624    0.0528
     11.70    1.4661    0.0544
     11.80    1.4805    0.0554
     11.90    1.4741    0.0567
     12.00    1.4685    0.0580
     12.10    1.4636    0.0593
     12.20    1.4591    0.0605
     12.30    1.4561    0.0617
     12.40    1.4610    0.0627
     12.50    1.4737    0.0639
     12.60    1.4640    0.0652
     12.70    1.4542    0.0666
     12.80    1.4443    0.0680
     12.90    1.4343    0.0695
     13.00    1.4240    0.0710
     13.10    1.4135    0.0726
     13.20    1.4028    0.0743
     13.30    1.3918    0.0761
     13.40    1.3805    0.0780
     13.50    1.3691    0.0799
     13.60    1.3575    0.0820
     13.70    1.3457    0.0842
     13.80    1.3338    0.0864
     13.90    1.3220    0.0888
     14.00    1.3103    0.0913
     14.10    1.2987    0.0938
     14.20    1.2874    0.0965
     14.30    1.2764    0.0993
     14.70    1.0627    0.1508
     14.80    1.0571    0.1546
     14.90    1.0528    0.1580
     15.00    1.0493    0.1612
     15.10    1.0466    0.1642
     15.20    1.0445    0.1671
     15.30    1.0430    0.1698
     15.40    1.0418    0.1724
     15.50    1.0410    0.1749
     15.60    1.0404    0.1773
     15.70    1.0402    0.1796
     15.80    1.0401    0.1819
     15.90    1.0403    0.1841
     16.00    1.0407    0.1862
     16.10    1.0412    0.1883
     16.20    1.0419    0.1904
     16.30    1.0427    0.1924
     16.40    1.0436    0.1943
     16.50    1.0446    0.1962
     16.60    1.0457    0.1980
     16.70    1.0468    0.1999
     16.80    1.0481    0.2016
     16.90    1.0495    0.2034
     17.00    1.0510    0.2051
     17.10    1.0526    0.2068
     17.20    1.0542    0.2085
     17.30    1.0560    0.2102
     17.40    1.0578    0.2118
     17.50    1.0597    0.2134
     17.60    1.0617    0.2151
     17.70    1.0637    0.2166
     17.80    1.0658    0.2182
     17.90    1.0679    0.2198
     18.00    1.0701    0.2213
     18.10    1.0724    0.2229
     18.20    1.0747    0.2244
     18.30    1.0770    0.2259
     18.40    1.0794    0.2274
     18.50    1.0818    0.2289
