AeroDyn airfoil file Created with QBlade v0.963 64bit on 03.02.2021 at 08:58:07 Compatible with AeroDyn v13.0.
Polar "T1_Re0.130_M0.00_N9.0" on Foil "SG6042" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
13.10          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-4.09          Angle of attack for zero Cn for linear Cn curve (deg)
5.20744        Cn slope for zero lift for linear Cn curve (1/rad)
-0.2147        Cn at stall value for positive angle of attack for linear Cn curve
-0.2296        Cn at stall value for negative angle of attack for linear Cn curve
-0.90          Angle of attack for minimum CD (deg)
0.0143         Minimum CD value
     10.50    1.3548    0.0334
     10.60    1.3783    0.0345
     10.70    1.3868    0.0351
     10.80    1.3916    0.0356
     10.90    1.4000    0.0362
     11.00    1.4074    0.0368
     11.10    1.4118    0.0374
     11.20    1.4197    0.0380
     11.30    1.4283    0.0387
     11.40    1.4312    0.0393
     11.50    1.4373    0.0399
     11.60    1.4512    0.0406
     11.70    1.4506    0.0414
     11.80    1.4540    0.0421
     11.90    1.4603    0.0427
     12.00    1.4744    0.0435
     12.10    1.4723    0.0443
     12.20    1.4732    0.0451
     12.30    1.4775    0.0458
     12.40    1.4856    0.0465
     12.50    1.4965    0.0474
     12.60    1.4929    0.0484
     12.70    1.4910    0.0494
     12.80    1.4908    0.0503
     12.90    1.4929    0.0512
     13.00    1.4997    0.0519
     13.10    1.5174    0.0528
     13.20    1.5108    0.0540
     13.30    1.5047    0.0551
     13.40    1.4990    0.0564
     13.50    1.4938    0.0577
     13.60    1.4889    0.0590
     13.70    1.4844    0.0603
     13.80    1.4805    0.0616
     13.90    1.4774    0.0628
     14.00    1.4759    0.0640
     14.10    1.4789    0.0649
     14.20    1.5038    0.0654
     14.30    1.4945    0.0670
     14.40    1.4851    0.0686
     14.50    1.4756    0.0703
     14.60    1.4659    0.0721
     14.70    1.4562    0.0740
     14.80    1.4463    0.0759
     14.90    1.4364    0.0779
     15.00    1.4263    0.0801
     15.10    1.4160    0.0823
     15.20    1.4057    0.0845
     15.30    1.3953    0.0869
     15.40    1.3848    0.0893
     15.50    1.3742    0.0919
     15.60    1.3636    0.0945
     15.70    1.3531    0.0972
     15.80    1.3426    0.1000
     15.90    1.3322    0.1029
     16.00    1.3219    0.1059
     16.10    1.3118    0.1090
     16.20    1.3020    0.1121
     16.30    1.2924    0.1154
     16.70    0.8249    0.2009
     16.80    0.8239    0.2024
     16.90    0.8231    0.2039
     17.00    0.8223    0.2054
     17.10    0.8216    0.2068
     17.20    0.8211    0.2083
     17.30    0.8235    0.2095
     17.40    0.8302    0.2106
     17.50    0.8387    0.2123
     17.60    0.8250    0.2136
     17.70    0.8202    0.2150
     17.80    0.8205    0.2162
     17.90    0.8231    0.2173
     18.00    0.8284    0.2183
     18.10    0.8393    0.2200
     18.20    0.8301    0.2213
     18.30    0.8229    0.2228
     18.40    0.8221    0.2241
     18.50    0.8233    0.2253
     18.60    0.8261    0.2264
     18.70    0.8313    0.2275
     18.80    0.8412    0.2293
     18.90    0.8305    0.2305
     19.00    0.8258    0.2320
     19.10    0.8257    0.2333
     19.20    0.8269    0.2345
     19.30    0.8291    0.2356
     19.40    0.8328    0.2368
     19.50    0.8405    0.2383
     19.60    0.8370    0.2398
     19.70    0.8310    0.2412
     19.80    0.8301    0.2426
     19.90    0.8310    0.2439
     20.00    0.8327    0.2451
