AeroDyn airfoil file Created with QBlade v0.963 64bit on 05.02.2021 at 09:23:20 Compatible with AeroDyn v13.0.
Polar "T1_Re0.100_M0.00_N9.0" on Foil "NACA 64(2)-415" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
11.90          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-1.70          Angle of attack for zero Cn for linear Cn curve (deg)
5.35415        Cn slope for zero lift for linear Cn curve (1/rad)
-0.4724        Cn at stall value for positive angle of attack for linear Cn curve
-0.4919        Cn at stall value for negative angle of attack for linear Cn curve
-4.90          Angle of attack for minimum CD (deg)
0.0184         Minimum CD value
     -8.00   -0.5578    0.0362
     -7.90   -0.5499    0.0353
     -7.80   -0.5416    0.0345
     -7.70   -0.5312    0.0337
     -7.60   -0.5212    0.0330
     -7.50   -0.5114    0.0323
     -7.40   -0.5017    0.0317
     -7.30   -0.4919    0.0310
     -7.20   -0.4821    0.0304
     -7.10   -0.4723    0.0299
     -7.00   -0.4619    0.0292
     -6.90   -0.4515    0.0286
     -6.80   -0.4412    0.0281
     -6.70   -0.4310    0.0277
     -6.60   -0.4207    0.0272
     -6.50   -0.4105    0.0267
     -6.40   -0.4004    0.0262
     -6.30   -0.3902    0.0258
     -6.20   -0.3803    0.0253
     -6.10   -0.3706    0.0249
     -6.00   -0.3608    0.0246
     -5.90   -0.3517    0.0241
     -5.80   -0.3422    0.0238
     -5.70   -0.3337    0.0234
     -5.60   -0.3250    0.0230
     -5.50   -0.3164    0.0226
     -5.40   -0.3083    0.0222
     -5.30   -0.3007    0.0217
     -5.20   -0.2934    0.0212
     -5.10   -0.2873    0.0204
     -5.00   -0.2856    0.0189
     -4.90   -0.2827    0.0184
     -4.80   -0.2737    0.0187
     -4.70   -0.2644    0.0190
     -4.60   -0.2551    0.0193
     -4.50   -0.2456    0.0196
     -4.40   -0.2364    0.0199
     -4.30   -0.2273    0.0201
     -4.20   -0.2182    0.0204
     -4.10   -0.2092    0.0207
     -4.00   -0.2004    0.0210
     -3.90   -0.1917    0.0212
     -3.80   -0.1830    0.0215
     -3.70   -0.1745    0.0218
     -3.60   -0.1660    0.0220
     -3.50   -0.1579    0.0223
     -3.40   -0.1501    0.0226
     -3.30   -0.1422    0.0229
     -3.20   -0.1343    0.0231
     -3.10   -0.1264    0.0233
     -3.00   -0.1188    0.0236
     -2.90   -0.1109    0.0238
     -2.80   -0.1026    0.0238
     -2.70   -0.0941    0.0240
     -2.60   -0.0852    0.0239
     -2.50   -0.0761    0.0239
     -2.40   -0.0667    0.0238
     -2.30   -0.0575    0.0238
     -2.20   -0.0481    0.0237
     -2.10   -0.0384    0.0235
     -2.00   -0.0290    0.0235
     -1.90   -0.0193    0.0233
     -1.80   -0.0094    0.0232
     -1.70   -0.0000    0.0231
     -1.60    0.0097    0.0230
     -1.50    0.0200    0.0228
     -1.40    0.0293    0.0228
     -1.30    0.0388    0.0227
     -1.20    0.0490    0.0226
     -1.10    0.0587    0.0225
     -1.00    0.0680    0.0224
     -0.90    0.0779    0.0223
     -0.80    0.0882    0.0222
     -0.70    0.0975    0.0221
     -0.60    0.1072    0.0220
     -0.50    0.1180    0.0219
     -0.40    0.1273    0.0218
     -0.30    0.1368    0.0218
     -0.20    0.1470    0.0217
     -0.10    0.1573    0.0216
      0.00    0.1665    0.0215
      0.10    0.1764    0.0214
      0.20    0.1873    0.0213
      0.30    0.1962    0.0213
      0.40    0.2057    0.0212
      0.50    0.2163    0.0211
      0.60    0.2257    0.0211
      0.70    0.2349    0.0210
      0.80    0.2452    0.0210
      0.90    0.2546    0.0209
      1.00    0.2637    0.0208
