AeroDyn airfoil file Created with QBlade v0.963 64bit on 16.02.2021 at 08:50:33 Compatible with AeroDyn v13.0.
Polar "T1_Re0.010_M0.00_N9.0" on Foil "S1223 RTL" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
20.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-10.95         Angle of attack for zero Cn for linear Cn curve (deg)
0.10966        Cn slope for zero lift for linear Cn curve (1/rad)
0.2718         Cn at stall value for positive angle of attack for linear Cn curve
0.0456         Cn at stall value for negative angle of attack for linear Cn curve
-2.80          Angle of attack for minimum CD (deg)
0.0733         Minimum CD value
     10.60    0.9647    0.1740
     10.70    0.9695    0.1751
     10.80    0.9743    0.1761
     10.90    0.9790    0.1772
     11.00    0.9838    0.1783
     11.10    0.9885    0.1794
     11.20    0.9933    0.1804
     11.30    0.9980    0.1815
     11.40    1.0027    0.1826
     11.50    1.0074    0.1836
     11.60    1.0120    0.1847
     11.70    1.0167    0.1858
     11.80    1.0213    0.1868
     11.90    1.0259    0.1879
     12.00    1.0305    0.1890
     12.10    1.0351    0.1900
     12.20    1.0396    0.1911
     12.30    1.0442    0.1922
     12.40    1.0487    0.1932
     12.50    1.0532    0.1943
     12.60    1.0577    0.1954
     12.70    1.0622    0.1964
     12.80    1.0667    0.1975
     12.90    1.0712    0.1985
     13.00    1.0756    0.1996
     13.10    1.0800    0.2006
     13.20    1.0844    0.2017
     13.30    1.0888    0.2028
     13.40    1.0932    0.2038
     13.50    1.0976    0.2049
     13.60    1.1020    0.2059
     13.70    1.1064    0.2070
     13.80    1.1107    0.2080
     13.90    1.1151    0.2090
     14.00    1.1194    0.2101
     14.10    1.1238    0.2111
     14.20    1.1281    0.2121
     14.30    1.1323    0.2132
     14.40    1.1366    0.2142
     14.50    1.1409    0.2153
     14.60    1.1451    0.2163
     14.70    1.1493    0.2174
     14.80    1.1535    0.2184
     14.90    1.1577    0.2195
     15.00    1.1619    0.2205
     15.10    1.1661    0.2215
     15.20    1.1703    0.2226
     15.30    1.1744    0.2236
     15.40    1.1785    0.2246
     15.50    1.1827    0.2257
     15.60    1.1868    0.2267
     15.70    1.1909    0.2277
     15.80    1.1949    0.2287
     15.90    1.1990    0.2298
     16.00    1.2031    0.2308
     16.10    1.2071    0.2318
     16.20    1.2112    0.2328
     16.30    1.2152    0.2338
     16.40    1.2192    0.2348
     16.50    1.2232    0.2358
     16.60    1.2272    0.2369
     16.70    1.2312    0.2379
     16.80    1.2352    0.2389
     16.90    1.2391    0.2399
     17.00    1.2431    0.2410
     17.10    1.2470    0.2420
     17.20    1.2509    0.2430
     17.30    1.2548    0.2440
     17.40    1.2587    0.2449
     17.50    1.2626    0.2459
     17.60    1.2664    0.2469
     17.70    1.2703    0.2479
     17.80    1.2741    0.2489
     17.90    1.2779    0.2499
     18.00    1.2817    0.2509
     18.10    1.2855    0.2519
     18.20    1.2893    0.2528
     18.30    1.2931    0.2538
     18.40    1.2968    0.2548
     18.50    1.3006    0.2558
     18.60    1.3043    0.2568
     18.70    1.3080    0.2577
     18.80    1.3117    0.2587
     18.90    1.3154    0.2597
     19.00    1.3191    0.2607
     19.10    1.3227    0.2617
     19.20    1.3264    0.2627
     19.30    1.3300    0.2637
     19.40    1.3336    0.2647
     19.50    1.3372    0.2657
     19.60    1.3408    0.2666
     19.70    1.3444    0.2676
     19.80    1.3480    0.2686
     19.90    1.3515    0.2696
     20.00    1.3551    0.2706
