AeroDyn airfoil file Created with QBlade v0.963 64bit on 16.02.2021 at 08:50:33 Compatible with AeroDyn v13.0.
Polar "T1_Re0.100_M0.00_N9.0" on Foil "S1223 RTL" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
11.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.00           Angle of attack for zero Cn for linear Cn curve (deg)
10.02876       Cn slope for zero lift for linear Cn curve (1/rad)
0.1831         Cn at stall value for positive angle of attack for linear Cn curve
0.1748         Cn at stall value for negative angle of attack for linear Cn curve
-0.40          Angle of attack for minimum CD (deg)
0.0252         Minimum CD value
     -8.00    0.1907    0.1007
     -7.90    0.1928    0.1000
     -7.80    0.1947    0.0994
     -7.70    0.1961    0.0987
     -7.60    0.1972    0.0982
     -7.50    0.1975    0.0977
     -7.40    0.1968    0.0975
     -7.30    0.1942    0.0976
     -7.20    0.1896    0.0980
     -7.10    0.1840    0.0984
     -7.00    0.1786    0.0988
     -6.90    0.1736    0.0991
     -6.80    0.1687    0.0993
     -6.70    0.1641    0.0993
     -6.60    0.1593    0.0993
     -6.50    0.1545    0.0993
     -6.40    0.1505    0.0991
     -6.30    0.1484    0.0988
     -6.20    0.1949    0.0899
     -6.10    0.2032    0.0885
     -6.00    0.2080    0.0875
     -5.90    0.2111    0.0867
     -5.80    0.2131    0.0859
     -5.70    0.2143    0.0853
     -5.60    0.2149    0.0847
     -5.50    0.2149    0.0842
     -5.40    0.2143    0.0837
     -5.30    0.2130    0.0832
     -5.20    0.2109    0.0829
     -5.10    0.2078    0.0825
     -5.00    0.2035    0.0823
     -4.90    0.1983    0.0822
     -4.80    0.1933    0.0823
     -4.70    0.1880    0.0827
     -4.60    0.1870    0.0831
     -4.50    0.1905    0.0830
     -4.40    0.1962    0.0824
     -4.30    0.1921    0.0795
     -4.20    0.1919    0.0777
     -4.10    0.1943    0.0764
     -4.00    0.1978    0.0753
     -3.90    0.2016    0.0744
     -3.80    0.2052    0.0736
     -3.70    0.2084    0.0729
     -3.60    0.2115    0.0722
     -3.50    0.2145    0.0715
     -3.40    0.2177    0.0708
     -3.30    0.2214    0.0700
     -3.10    0.2563    0.0672
     -3.00    0.2544    0.0660
     -2.90    0.2539    0.0652
     -2.80    0.2548    0.0644
     -2.70    0.2568    0.0637
     -2.60    0.2597    0.0631
     -2.50    0.2636    0.0626
     -2.40    0.2708    0.0619
     -2.20    0.3044    0.0589
     -2.10    0.3043    0.0585
     -2.00    0.3070    0.0579
     -1.90    0.3139    0.0573
     -1.80    0.6699    0.0307
     -1.70    0.6954    0.0299
     -1.60    0.7219    0.0290
     -1.50    0.7455    0.0281
     -1.40    0.7608    0.0278
     -1.30    0.7765    0.0276
     -1.20    0.7943    0.0273
     -1.10    0.8121    0.0269
     -1.00    0.8286    0.0267
     -0.90    0.8477    0.0262
     -0.80    0.8641    0.0259
     -0.70    0.8789    0.0258
     -0.60    0.8967    0.0255
     -0.50    0.9141    0.0254
     -0.40    0.9408    0.0252
     -0.30    0.9493    0.0255
     -0.20    0.9576    0.0257
     -0.10    0.9660    0.0260
      0.00    0.9734    0.0261
      0.10    0.9815    0.0264
      0.20    0.9896    0.0265
      0.30    0.9962    0.0267
      0.40    1.0063    0.0269
      0.50    1.0126    0.0270
      0.60    1.0219    0.0272
      0.70    1.0334    0.0273
      0.80    1.0421    0.0273
      0.90    1.0527    0.0274
      1.00    1.0651    0.0275
      1.10    1.0780    0.0275
      1.20    1.0877    0.0276
      1.30    1.0981    0.0276
      1.40    1.1099    0.0277
      1.50    1.1232    0.0278
      1.60    1.1335    0.0279
      1.70    1.1440    0.0279
      1.80    1.1552    0.0280
      1.90    1.1676    0.0281
      2.00    1.1783    0.0282
      2.10    1.1882    0.0283
      2.20    1.1990    0.0284
      2.30    1.2108    0.0285
      2.40    1.2205    0.0286
      2.50    1.2308    0.0287
      2.60    1.2424    0.0288
      2.70    1.2527    0.0289
      2.80    1.2626    0.0290
      2.90    1.2733    0.0291
      3.00    1.2833    0.0292
      3.10    1.2923    0.0293
      3.20    1.3025    0.0294
      3.30    1.3116    0.0295
      3.40    1.3208    0.0296
      3.50    1.3303    0.0297
      3.60    1.3389    0.0298
      3.70    1.3482    0.0299
      3.80    1.3564    0.0300
      3.90    1.3646    0.0301
      4.00    1.3719    0.0301
      4.10    1.3759    0.0301
      4.30    1.3866    0.0301
      4.40    1.3986    0.0304
      4.50    1.4096    0.0306
      4.60    1.4201    0.0309
      4.70    1.4301    0.0311
      4.80    1.4397    0.0313
      4.90    1.4491    0.0316
      5.00    1.4582    0.0318
