AeroDyn airfoil file Created with QBlade v0.963 64bit on 16.02.2021 at 08:50:34 Compatible with AeroDyn v13.0.
Polar "T1_Re0.130_M0.00_N9.0" on Foil "S1223 RTL" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
12.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.00           Angle of attack for zero Cn for linear Cn curve (deg)
9.89476        Cn slope for zero lift for linear Cn curve (1/rad)
0.2075         Cn at stall value for positive angle of attack for linear Cn curve
0.1961         Cn at stall value for negative angle of attack for linear Cn curve
-0.40          Angle of attack for minimum CD (deg)
0.0232         Minimum CD value
     11.20    1.8540    0.0545
     11.30    1.8558    0.0553
     11.40    1.8573    0.0562
     11.50    1.8586    0.0572
     11.60    1.8599    0.0581
     11.70    1.8609    0.0591
     11.80    1.8614    0.0601
     11.90    1.8616    0.0612
     12.00    1.8617    0.0624
     12.10    1.8614    0.0636
     12.20    1.8604    0.0649
     12.30    1.8593    0.0662
     12.40    1.8579    0.0676
     12.50    1.8554    0.0692
     12.60    1.8527    0.0708
     12.70    1.8494    0.0726
     12.80    1.8448    0.0746
     12.90    1.8398    0.0767
     13.00    1.8329    0.0791
     13.10    1.8248    0.0818
     13.20    1.8144    0.0850
     13.30    1.8003    0.0890
     13.40    1.7804    0.0943
     13.50    1.7521    0.1015
     13.60    1.7245    0.1088
     13.70    1.7030    0.1148
     13.80    1.6866    0.1197
     13.90    1.6726    0.1241
     14.00    1.6622    0.1278
     14.10    1.6526    0.1313
     14.20    1.6446    0.1345
     14.30    1.6383    0.1374
     14.40    1.6329    0.1401
     14.50    1.6280    0.1427
     14.60    1.6230    0.1453
     14.70    1.6188    0.1478
     14.80    1.6155    0.1501
     14.90    1.6128    0.1523
     15.00    1.6106    0.1545
     15.10    1.6087    0.1565
     15.20    1.6070    0.1585
     15.30    1.6052    0.1606
     15.40    1.6034    0.1626
     15.50    1.6022    0.1646
     15.60    1.6013    0.1665
     15.70    1.6005    0.1683
     15.80    1.5999    0.1701
     15.90    1.5995    0.1719
     16.00    1.5993    0.1736
     16.10    1.5990    0.1754
     16.20    1.5988    0.1771
     16.30    1.5982    0.1789
     16.40    1.5975    0.1807
     16.50    1.5972    0.1825
     16.60    1.5971    0.1842
     16.70    1.5971    0.1859
     16.80    1.5971    0.1876
     16.90    1.5972    0.1892
     17.00    1.5971    0.1909
     17.10    1.5970    0.1926
     17.20    1.5969    0.1943
     17.30    1.5967    0.1961
     17.40    1.5963    0.1979
     17.50    1.5959    0.1997
     17.60    1.5956    0.2014
     17.70    1.5955    0.2031
     17.80    1.5953    0.2049
     17.90    1.5951    0.2066
     18.00    1.5950    0.2083
     18.10    1.5950    0.2100
     18.20    1.5949    0.2117
     18.30    1.5946    0.2135
     18.40    1.5943    0.2152
     18.50    1.5942    0.2170
     18.60    1.5943    0.2187
     18.70    1.5944    0.2203
     18.80    1.5946    0.2219
     18.90    1.5948    0.2236
     19.00    1.5952    0.2252
     19.10    1.5956    0.2268
     19.20    1.5960    0.2283
     19.30    1.5966    0.2298
     19.40    1.5974    0.2313
     19.50    1.5983    0.2327
     19.60    1.5993    0.2340
     19.70    1.6004    0.2353
     19.80    1.6017    0.2366
     19.90    1.6030    0.2379
     20.00    1.6045    0.2391
