AeroDyn airfoil file Created with QBlade v0.963 64bit on 16.02.2021 at 08:50:33 Compatible with AeroDyn v13.0.
Polar "T1_Re0.080_M0.00_N9.0" on Foil "S1223 RTL" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
10.20          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.00           Angle of attack for zero Cn for linear Cn curve (deg)
11.97115       Cn slope for zero lift for linear Cn curve (1/rad)
0.1428         Cn at stall value for positive angle of attack for linear Cn curve
0.1295         Cn at stall value for negative angle of attack for linear Cn curve
-0.30          Angle of attack for minimum CD (deg)
0.0274         Minimum CD value
     11.10    1.6850    0.0736
     11.20    1.6779    0.0760
     11.30    1.6688    0.0787
     11.40    1.6573    0.0819
     11.50    1.6429    0.0858
     11.60    1.6255    0.0905
     11.70    1.6058    0.0959
     11.80    1.5869    0.1014
     11.90    1.5705    0.1065
     12.00    1.5567    0.1109
     12.10    1.5451    0.1150
     12.20    1.5349    0.1187
     12.30    1.5263    0.1221
     12.40    1.5187    0.1253
     12.50    1.5120    0.1283
     12.60    1.5060    0.1312
     12.70    1.5008    0.1340
     12.80    1.4959    0.1367
     12.90    1.4913    0.1393
     13.00    1.4874    0.1418
     13.10    1.4841    0.1442
     13.20    1.4811    0.1465
     13.30    1.4782    0.1489
     13.40    1.4754    0.1512
     13.50    1.4731    0.1534
     13.60    1.4711    0.1556
     13.70    1.4695    0.1577
     13.80    1.4681    0.1598
     13.90    1.4668    0.1618
     14.00    1.4655    0.1639
     14.10    1.4644    0.1660
     14.20    1.4633    0.1680
     14.30    1.4625    0.1700
     14.40    1.4619    0.1719
     14.50    1.4613    0.1739
     14.60    1.4607    0.1758
     14.70    1.4602    0.1778
     14.80    1.4597    0.1797
     14.90    1.4593    0.1816
     15.00    1.4591    0.1835
     15.10    1.4590    0.1853
     15.20    1.4588    0.1872
     15.30    1.4589    0.1890
     15.40    1.4590    0.1908
     15.50    1.4592    0.1926
     15.60    1.4594    0.1944
     15.70    1.4597    0.1961
     15.80    1.4602    0.1979
     15.90    1.4607    0.1996
     16.00    1.4613    0.2013
     16.10    1.4621    0.2029
     16.20    1.4629    0.2045
     16.30    1.4639    0.2061
     16.40    1.4648    0.2077
     16.50    1.4657    0.2093
     16.60    1.4667    0.2109
     16.70    1.4678    0.2125
     16.80    1.4689    0.2140
     16.90    1.4701    0.2156
     17.00    1.4715    0.2171
     17.10    1.4729    0.2185
     17.20    1.4744    0.2199
     17.30    1.4760    0.2214
     17.40    1.4777    0.2227
     17.50    1.4794    0.2241
     17.60    1.4812    0.2254
     17.70    1.4831    0.2268
     17.80    1.4850    0.2281
     17.90    1.4869    0.2294
     18.00    1.4890    0.2306
     18.10    1.4911    0.2318
     18.20    1.4933    0.2330
     18.30    1.4956    0.2342
     18.40    1.4979    0.2353
     18.50    1.5003    0.2364
     18.60    1.5027    0.2375
     18.70    1.5052    0.2386
     18.80    1.5076    0.2396
     18.90    1.5101    0.2407
     19.00    1.5126    0.2417
     19.10    1.5152    0.2427
     19.20    1.5177    0.2438
     19.30    1.5203    0.2448
     19.40    1.5229    0.2458
     19.50    1.5255    0.2468
     19.60    1.5281    0.2477
     19.70    1.5307    0.2487
     19.80    1.5334    0.2497
     19.90    1.5360    0.2506
     20.00    1.5387    0.2516
