AeroDyn airfoil file Created with QBlade v0.963 64bit on 16.02.2021 at 08:50:33 Compatible with AeroDyn v13.0.
Polar "T1_Re0.005_M0.00_N9.0" on Foil "S1223 RTL" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
20.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-9.90          Angle of attack for zero Cn for linear Cn curve (deg)
0.98342        Cn slope for zero lift for linear Cn curve (1/rad)
0.0518         Cn at stall value for positive angle of attack for linear Cn curve
0.0148         Cn at stall value for negative angle of attack for linear Cn curve
4.70           Angle of attack for minimum CD (deg)
0.0632         Minimum CD value
     10.10    0.8109    0.1615
     10.20    0.8172    0.1626
     10.30    0.8235    0.1637
     10.40    0.8298    0.1648
     10.50    0.8359    0.1659
     10.60    0.8421    0.1670
     10.70    0.8481    0.1681
     10.80    0.8542    0.1692
     10.90    0.8601    0.1703
     11.00    0.8661    0.1714
     11.10    0.8720    0.1725
     11.20    0.8779    0.1736
     11.30    0.8837    0.1747
     11.40    0.8895    0.1758
     11.50    0.8953    0.1769
     11.60    0.9010    0.1780
     11.70    0.9067    0.1791
     11.80    0.9123    0.1801
     11.90    0.9179    0.1812
     12.00    0.9235    0.1823
     12.10    0.9290    0.1834
     12.20    0.9345    0.1845
     12.30    0.9400    0.1856
     12.40    0.9454    0.1867
     12.50    0.9508    0.1878
     12.60    0.9562    0.1889
     12.70    0.9615    0.1899
     12.80    0.9668    0.1910
     12.90    0.9721    0.1921
     13.00    0.9773    0.1932
     13.10    0.9825    0.1943
     13.20    0.9877    0.1954
     13.30    0.9929    0.1965
     13.40    0.9980    0.1976
     13.50    1.0031    0.1987
     13.60    1.0082    0.1998
     13.70    1.0133    0.2009
     13.80    1.0184    0.2020
     13.90    1.0234    0.2031
     14.00    1.0284    0.2042
     14.10    1.0333    0.2053
     14.20    1.0383    0.2064
     14.30    1.0432    0.2075
     14.40    1.0480    0.2086
     14.50    1.0529    0.2097
     14.60    1.0577    0.2108
     14.70    1.0626    0.2119
     14.80    1.0674    0.2130
     14.90    1.0721    0.2140
     15.00    1.0769    0.2151
     15.10    1.0816    0.2162
     15.20    1.0863    0.2173
     15.30    1.0910    0.2184
     15.40    1.0957    0.2195
     15.50    1.1003    0.2206
     15.60    1.1049    0.2218
     15.70    1.1095    0.2229
     15.80    1.1141    0.2240
     15.90    1.1186    0.2251
     16.00    1.1232    0.2262
     16.10    1.1277    0.2273
     16.20    1.1322    0.2284
     16.30    1.1367    0.2295
     16.40    1.1412    0.2306
     16.50    1.1456    0.2317
     16.60    1.1501    0.2328
     16.70    1.1545    0.2339
     16.80    1.1588    0.2351
     16.90    1.1632    0.2362
     17.00    1.1675    0.2373
     17.10    1.1719    0.2384
     17.20    1.1762    0.2395
     17.30    1.1805    0.2406
     17.40    1.1847    0.2417
     17.50    1.1890    0.2428
     17.60    1.1932    0.2439
     17.70    1.1974    0.2450
     17.80    1.2016    0.2461
     17.90    1.2058    0.2473
     18.00    1.2099    0.2484
     18.10    1.2140    0.2495
     18.20    1.2181    0.2506
     18.30    1.2222    0.2517
     18.40    1.2263    0.2529
     18.50    1.2303    0.2540
     18.60    1.2344    0.2551
     18.70    1.2384    0.2562
     18.80    1.2424    0.2573
     18.90    1.2464    0.2584
