AeroDyn airfoil file Created with QBlade v0.963 64bit on 05.02.2021 at 09:23:20 Compatible with AeroDyn v13.0.
Polar "T1_Re0.080_M0.00_N9.0" on Foil "NACA 64(2)-415" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
12.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-1.44          Angle of attack for zero Cn for linear Cn curve (deg)
5.04484        Cn slope for zero lift for linear Cn curve (1/rad)
-0.3163        Cn at stall value for positive angle of attack for linear Cn curve
-0.4716        Cn at stall value for negative angle of attack for linear Cn curve
-5.00          Angle of attack for minimum CD (deg)
0.0203         Minimum CD value
     -8.00   -0.5639    0.0399
     -7.90   -0.5564    0.0389
     -7.80   -0.5482    0.0379
     -7.70   -0.5384    0.0370
     -7.60   -0.5289    0.0362
     -7.50   -0.5196    0.0355
     -7.40   -0.5102    0.0347
     -7.30   -0.5007    0.0339
     -7.20   -0.4912    0.0332
     -7.10   -0.4817    0.0326
     -7.00   -0.4712    0.0318
     -6.90   -0.4607    0.0312
     -6.80   -0.4504    0.0306
     -6.70   -0.4403    0.0301
     -6.60   -0.4299    0.0295
     -6.50   -0.4193    0.0289
     -6.40   -0.4090    0.0284
     -6.30   -0.3986    0.0279
     -6.20   -0.3884    0.0274
     -6.10   -0.3781    0.0270
     -6.00   -0.3682    0.0265
     -5.90   -0.3583    0.0261
     -5.80   -0.3490    0.0256
     -5.70   -0.3399    0.0252
     -5.60   -0.3311    0.0248
     -5.50   -0.3229    0.0244
     -5.40   -0.3154    0.0239
     -5.30   -0.3083    0.0233
     -5.20   -0.3026    0.0226
     -5.10   -0.2995    0.0214
     -5.00   -0.3019    0.0203
     -4.90   -0.2948    0.0209
     -4.80   -0.2866    0.0214
     -4.70   -0.2782    0.0219
     -4.60   -0.2698    0.0224
     -4.50   -0.2614    0.0228
     -4.40   -0.2531    0.0232
     -4.30   -0.2448    0.0237
     -4.20   -0.2367    0.0241
     -4.10   -0.2286    0.0245
     -4.00   -0.2206    0.0249
     -3.90   -0.2126    0.0253
     -3.80   -0.2047    0.0257
     -3.70   -0.1968    0.0260
     -3.60   -0.1889    0.0264
     -3.50   -0.1810    0.0267
     -3.40   -0.1730    0.0270
     -3.30   -0.1649    0.0273
     -3.20   -0.1565    0.0275
     -3.10   -0.1463    0.0278
     -3.00   -0.1366    0.0279
     -2.90   -0.1284    0.0279
     -2.80   -0.1199    0.0278
     -2.70   -0.1094    0.0278
     -2.60   -0.1034    0.0276
     -2.50   -0.0917    0.0276
     -2.40   -0.0842    0.0274
     -2.30   -0.0747    0.0273
     -2.20   -0.0654    0.0271
     -2.10   -0.0586    0.0269
     -2.00   -0.0480    0.0268
     -1.90   -0.0404    0.0266
     -1.80   -0.0320    0.0264
     -1.70   -0.0221    0.0263
     -1.60   -0.0150    0.0261
     -1.50   -0.0058    0.0259
     -1.40    0.0038    0.0258
     -1.30    0.0108    0.0256
     -1.20    0.0203    0.0255
     -1.10    0.0298    0.0253
     -1.00    0.0367    0.0251
     -0.90    0.0466    0.0250
     -0.80    0.0559    0.0249
     -0.70    0.0629    0.0247
     -0.60    0.0729    0.0246
     -0.50    0.0822    0.0245
     -0.40    0.0895    0.0243
     -0.30    0.0995    0.0242
     -0.20    0.1088    0.0240
     -0.10    0.1163    0.0239
      0.00    0.1262    0.0238
      0.10    0.1356    0.0237
      0.20    0.1432    0.0235
      0.30    0.1532    0.0234
      0.40    0.1625    0.0233
      0.50    0.1703    0.0232
      0.60    0.1805    0.0231
      0.70    0.1896    0.0230
      0.80    0.1980    0.0229
      0.90    0.2081    0.0228
      1.00    0.2165    0.0227
      1.10    0.2262    0.0226
      1.20    0.2358    0.0225
      1.30    0.2444    0.0224
      1.40    0.2549    0.0224
      1.50    0.2629    0.0223
      1.60    0.2743    0.0222
      1.70    0.2832    0.0221
      1.80    0.2947    0.0221
      1.90    0.3037    0.0220
      2.00    0.3157    0.0219
      2.10    0.3249    0.0219
      2.20    0.3384    0.0218
      2.30    0.3495    0.0218
      2.40    0.3634    0.0217
      2.50    0.3772    0.0217
      2.60    0.3905    0.0217
      2.70    0.4078    0.0217
      2.80    0.4236    0.0217
      2.90    0.4413    0.0217
      3.00    0.4600    0.0218
      3.10    0.4782    0.0218
      3.20    0.4989    0.0219
      3.30    0.5192    0.0219
      3.40    0.5394    0.0220
      3.50    0.5602    0.0220
      3.60    0.5802    0.0221
      3.70    0.5998    0.0221
      3.80    0.6193    0.0222
      3.90    0.6291    0.0222
      4.00    0.6278    0.0222
      4.10    0.6257    0.0222
      4.20    0.6232    0.0222
      4.30    0.6205    0.0222
      4.40    0.6203    0.0222
      4.50    0.6239    0.0222
      4.60    0.6302    0.0223
      4.70    0.6381    0.0224
      4.80    0.6470    0.0225
      4.90    0.6564    0.0226
      5.00    0.6663    0.0228
      5.10    0.6763    0.0229
      5.20    0.6864    0.0230
      5.30    0.6964    0.0232
      5.40    0.7063    0.0233
      5.50    0.7162    0.0235
      5.60    0.7259    0.0237
      5.70    0.7356    0.0239
      5.80    0.7452    0.0240
      5.90    0.7547    0.0242
      6.00    0.7641    0.0244
      6.10    0.7733    0.0246
      6.20    0.7825    0.0248
      6.30    0.7915    0.0250
      6.40    0.8003    0.0253
      6.50    0.8091    0.0255
      6.60    0.8177    0.0257
      6.70    0.8262    0.0260
      6.80    0.8346    0.0262
      6.90    0.8428    0.0265
      7.00    0.8509    0.0267
      7.10    0.8589    0.0270
      7.20    0.8667    0.0273
      7.30    0.8745    0.0275
      7.40    0.8821    0.0278
      7.50    0.8896    0.0281
