AeroDyn airfoil file Created with QBlade v0.963 64bit on 03.02.2021 at 08:58:06 Compatible with AeroDyn v13.0.
Polar "T1_Re0.010_M0.00_N9.0" on Foil "SG6043" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
19.90          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-9.10          Angle of attack for zero Cn for linear Cn curve (deg)
-0.17049       Cn slope for zero lift for linear Cn curve (1/rad)
0.0700         Cn at stall value for positive angle of attack for linear Cn curve
0.0246         Cn at stall value for negative angle of attack for linear Cn curve
-0.20          Angle of attack for minimum CD (deg)
0.0431         Minimum CD value
     10.30    0.9647    0.0985
     10.40    0.9676    0.0997
     10.50    0.9704    0.1009
     10.60    0.9732    0.1022
     10.70    0.9758    0.1034
     10.80    0.9784    0.1047
     10.90    0.9809    0.1060
     11.00    0.9834    0.1074
     11.10    0.9857    0.1087
     11.20    0.9881    0.1101
     11.30    0.9903    0.1115
     11.40    0.9925    0.1129
     11.50    0.9947    0.1143
     11.60    0.9970    0.1157
     11.70    0.9992    0.1171
     11.80    1.0015    0.1185
     11.90    1.0038    0.1199
     12.00    1.0061    0.1213
     12.10    1.0085    0.1227
     12.20    1.0109    0.1241
     12.30    1.0134    0.1255
     12.40    1.0159    0.1269
     12.50    1.0184    0.1283
     12.60    1.0210    0.1297
     12.70    1.0236    0.1310
     12.80    1.0263    0.1324
     12.90    1.0290    0.1338
     13.00    1.0318    0.1351
     13.10    1.0346    0.1364
     13.20    1.0374    0.1378
     13.30    1.0402    0.1391
     13.40    1.0430    0.1404
     13.50    1.0459    0.1417
     13.60    1.0487    0.1431
     13.70    1.0516    0.1444
     13.80    1.0544    0.1457
     13.90    1.0573    0.1470
     14.00    1.0601    0.1484
     14.10    1.0630    0.1497
     14.20    1.0659    0.1510
     14.30    1.0687    0.1524
     14.40    1.0716    0.1537
     14.50    1.0745    0.1551
     14.60    1.0774    0.1565
     14.70    1.0803    0.1579
     14.80    1.0832    0.1592
     14.90    1.0861    0.1606
     15.00    1.0889    0.1621
     15.10    1.0918    0.1635
     15.20    1.0947    0.1649
     15.30    1.0975    0.1664
     15.40    1.1004    0.1678
     15.50    1.1032    0.1693
     15.60    1.1061    0.1708
     15.70    1.1089    0.1722
     15.80    1.1118    0.1737
     15.90    1.1146    0.1753
     16.00    1.1174    0.1768
     16.10    1.1202    0.1783
     16.20    1.1231    0.1798
     16.30    1.1259    0.1814
     16.40    1.1287    0.1829
     16.50    1.1315    0.1845
     16.60    1.1344    0.1861
     16.70    1.1372    0.1877
     16.80    1.1400    0.1892
     16.90    1.1428    0.1908
     17.00    1.1457    0.1924
     17.10    1.1485    0.1940
     17.20    1.1514    0.1956
     17.30    1.1542    0.1972
     17.40    1.1570    0.1989
     17.50    1.1599    0.2005
     17.60    1.1627    0.2021
     17.70    1.1655    0.2038
     17.80    1.1683    0.2054
     17.90    1.1711    0.2070
     18.00    1.1739    0.2087
     18.10    1.1767    0.2103
     18.20    1.1795    0.2120
     18.30    1.1822    0.2136
     18.40    1.1850    0.2152
     18.50    1.1878    0.2169
     18.60    1.1905    0.2185
     18.70    1.1933    0.2202
     18.80    1.1960    0.2218
     18.90    1.1988    0.2234
     19.00    1.2015    0.2250
     19.10    1.2042    0.2266
     19.20    1.2069    0.2282
     19.30    1.2096    0.2298
     19.40    1.2122    0.2314
     19.50    1.2149    0.2330
     19.60    1.2175    0.2345
     19.70    1.2201    0.2361
     19.80    1.2226    0.2376
     19.90    1.2252    0.2391
