AeroDyn airfoil file Created with QBlade v0.963 64bit on 03.02.2021 at 08:58:07 Compatible with AeroDyn v13.0.
Polar "T1_Re0.080_M0.00_N9.0" on Foil "SG6043" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
13.90          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-4.73          Angle of attack for zero Cn for linear Cn curve (deg)
4.69841        Cn slope for zero lift for linear Cn curve (1/rad)
-0.0793        Cn at stall value for positive angle of attack for linear Cn curve
-0.1027        Cn at stall value for negative angle of attack for linear Cn curve
-0.60          Angle of attack for minimum CD (deg)
0.0189         Minimum CD value
     -8.00   -0.0781    0.0947
     -7.90   -0.0796    0.0941
     -7.80   -0.0845    0.0938
     -7.70   -0.0910    0.0936
     -7.60   -0.0745    0.0910
     -7.50   -0.0697    0.0899
     -7.40   -0.0684    0.0890
     -7.30   -0.0706    0.0884
     -7.20   -0.0770    0.0881
     -7.10   -0.0846    0.0880
     -7.00   -0.0699    0.0856
     -6.90   -0.0646    0.0844
     -6.80   -0.0639    0.0836
     -6.70   -0.0664    0.0830
     -6.60   -0.0721    0.0826
     -6.50   -0.0690    0.0813
     -6.40   -0.0613    0.0799
     -6.30   -0.0576    0.0789
     -6.20   -0.0572    0.0781
     -6.10   -0.0609    0.0773
     -6.00   -0.0540    0.0759
     -5.90   -0.0488    0.0749
     -5.80   -0.0468    0.0739
     -5.70   -0.0458    0.0727
     -5.60   -0.0405    0.0717
     -5.50   -0.0363    0.0707
     -5.40   -0.0336    0.0693
     -5.30   -0.0291    0.0684
     -5.20   -0.0245    0.0674
     -5.10   -0.0201    0.0660
     -5.00   -0.0155    0.0652
     -4.90   -0.0093    0.0637
     -4.80   -0.0052    0.0628
     -4.70    0.0022    0.0614
     -4.60    0.0062    0.0606
     -4.50    0.0140    0.0592
     -4.40    0.0181    0.0584
     -4.30    0.0256    0.0572
     -4.20    0.0336    0.0560
     -4.10    0.0375    0.0553
     -4.00    0.0446    0.0542
     -3.10    0.2052    0.0345
     -3.00    0.2223    0.0328
     -2.90    0.2408    0.0313
     -2.80    0.2529    0.0304
     -2.70    0.2657    0.0296
     -2.60    0.2788    0.0288
     -2.50    0.2918    0.0281
     -2.40    0.3048    0.0275
     -2.30    0.3162    0.0268
     -2.20    0.3275    0.0263
     -2.10    0.3393    0.0259
     -2.00    0.3516    0.0254
     -1.90    0.3624    0.0249
     -1.80    0.3742    0.0245
     -1.70    0.3852    0.0241
     -1.60    0.3962    0.0237
     -1.50    0.4074    0.0234
     -1.40    0.4180    0.0230
     -1.30    0.4285    0.0227
     -1.20    0.4393    0.0223
     -1.10    0.4502    0.0220
     -1.00    0.4614    0.0216
     -0.90    0.4741    0.0211
     -0.80    0.4820    0.0198
     -0.70    0.4781    0.0194
     -0.60    0.4742    0.0189
     -0.50    0.4869    0.0189
     -0.40    0.4986    0.0190
     -0.30    0.5100    0.0191
     -0.20    0.5213    0.0191
     -0.10    0.5325    0.0192
      0.00    0.5436    0.0193
      0.10    0.5546    0.0194
      0.20    0.5655    0.0195
      0.30    0.5764    0.0195
      0.40    0.5872    0.0196
      0.50    0.5979    0.0197
      0.60    0.6086    0.0198
      0.70    0.6192    0.0199
      0.80    0.6297    0.0200
      0.90    0.6402    0.0201
      1.00    0.6506    0.0202
      1.10    0.6610    0.0203
      1.20    0.6713    0.0203
      1.30    0.6816    0.0204
      1.40    0.6918    0.0205
