AeroDyn airfoil file Created with QBlade v0.963 64bit on 16.02.2021 at 08:50:34 Compatible with AeroDyn v13.0.
Polar "T1_Re0.150_M0.00_N9.0" on Foil "SD8040 (10%)" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
12.40          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-2.54          Angle of attack for zero Cn for linear Cn curve (deg)
6.11506        Cn slope for zero lift for linear Cn curve (1/rad)
-0.2682        Cn at stall value for positive angle of attack for linear Cn curve
-0.3000        Cn at stall value for negative angle of attack for linear Cn curve
-1.20          Angle of attack for minimum CD (deg)
0.0129         Minimum CD value
     -7.90   -0.3562    0.0914
     -7.80   -0.3569    0.0899
     -7.70   -0.3561    0.0881
     -7.60   -0.3550    0.0864
     -7.50   -0.3720    0.0789
     -7.40   -0.3722    0.0766
     -7.30   -0.3680    0.0752
     -7.20   -0.3631    0.0742
     -7.10   -0.3587    0.0731
     -7.00   -0.3546    0.0719
     -6.90   -0.3508    0.0707
     -6.80   -0.3472    0.0695
     -6.70   -0.3433    0.0682
     -6.60   -0.3395    0.0668
     -6.50   -0.3357    0.0654
     -6.40   -0.3318    0.0640
     -6.30   -0.3278    0.0625
     -6.20   -0.3235    0.0609
     -6.10   -0.3190    0.0594
     -6.00   -0.3141    0.0578
     -5.90   -0.3088    0.0562
     -5.80   -0.3029    0.0547
     -5.70   -0.2962    0.0533
     -5.60   -0.2785    0.0565
     -5.50   -0.2713    0.0557
     -5.40   -0.2643    0.0545
     -5.30   -0.2752    0.0463
     -5.20   -0.2683    0.0448
     -5.10   -0.2605    0.0435
     -5.00   -0.2525    0.0423
     -4.90   -0.2443    0.0410
     -4.80   -0.2358    0.0396
     -4.70   -0.2269    0.0381
     -4.60   -0.2114    0.0285
     -4.50   -0.2019    0.0273
     -4.40   -0.1920    0.0262
     -4.30   -0.1819    0.0252
     -4.20   -0.1716    0.0242
     -4.10   -0.1612    0.0234
     -4.00   -0.1507    0.0226
     -3.90   -0.1401    0.0219
     -3.80   -0.1296    0.0212
     -3.70   -0.1190    0.0206
     -3.60   -0.1085    0.0201
     -3.50   -0.0980    0.0195
     -3.40   -0.0876    0.0191
     -3.30   -0.0771    0.0187
     -3.20   -0.0665    0.0184
     -3.10   -0.0565    0.0178
     -3.00   -0.0468    0.0172
     -2.90   -0.0361    0.0170
     -2.80   -0.0257    0.0167
     -2.70   -0.0160    0.0160
     -2.60   -0.0061    0.0156
     -2.50    0.0040    0.0153
     -2.40    0.0138    0.0151
     -2.30    0.0227    0.0146
     -2.20    0.0310    0.0142
     -2.10    0.0384    0.0138
     -2.00    0.0454    0.0135
     -1.90    0.0516    0.0133
     -1.80    0.0584    0.0131
     -1.70    0.0659    0.0131
     -1.60    0.0744    0.0130
     -1.50    0.0830    0.0130
     -1.40    0.0930    0.0129
     -1.30    0.1053    0.0129
     -1.20    0.1207    0.0129
     -1.10    0.1397    0.0129
     -1.00    0.1627    0.0129
     -0.90    0.1890    0.0129
     -0.80    0.2166    0.0129
     -0.70    0.2297    0.0129
     -0.60    0.2377    0.0129
     -0.50    0.2459    0.0129
     -0.40    0.2543    0.0130
     -0.30    0.2630    0.0130
     -0.20    0.2719    0.0130
     -0.10    0.2809    0.0130
      0.00    0.2902    0.0131
      0.10    0.2996    0.0131
      0.20    0.3092    0.0131
      0.30    0.3189    0.0132
      0.40    0.3288    0.0132
      0.50    0.3387    0.0133
      0.60    0.3487    0.0133
      0.70    0.3587    0.0134
      0.80    0.3688    0.0134
      0.90    0.3790    0.0134
      1.00    0.3892    0.0135
      1.10    0.3995    0.0135
      1.20    0.4097    0.0136
      1.30    0.4200    0.0136
      1.40    0.4304    0.0137
      1.50    0.4407    0.0138
      1.60    0.4511    0.0138
      1.70    0.4615    0.0139
      1.80    0.4719    0.0139
      1.90    0.4823    0.0140
      2.00    0.4927    0.0140
      2.10    0.5031    0.0141
      2.20    0.5135    0.0142
      2.30    0.5240    0.0142
      2.40    0.5344    0.0143
      2.50    0.5449    0.0144
      2.60    0.5553    0.0144
      2.70    0.5657    0.0145
      2.80    0.5762    0.0146
      2.90    0.5866    0.0146
      3.00    0.5970    0.0147
      3.10    0.6074    0.0148
      3.20    0.6178    0.0148
      3.30    0.6282    0.0149
      3.40    0.6386    0.0150
      3.50    0.6490    0.0151
      3.60    0.6594    0.0152
      3.70    0.6697    0.0152
      3.80    0.6801    0.0153
      3.90    0.6904    0.0154
      4.00    0.7008    0.0155
      4.10    0.7111    0.0156
      4.20    0.7214    0.0157
      4.30    0.7317    0.0157
      4.40    0.7420    0.0158
